,movie_logo,movie_name,movie_website
39,https://static.metacritic.com/images/products/movies/1/8b71ce57eab2663e6cda5b239a43dafe-250h.jpg,Escape from New York,https://www.metacritic.com/movie/escape-from-new-york
40,https://static.metacritic.com/images/products/movies/2/241ba2c8849c84d99740ad2a7ede30a2-98.jpg,Face/Off,https://www.metacritic.com/movie/face-off
41,https://static.metacritic.com/images/products/movies/9/a4fa9f744e1f4759baf6bb685ad61628-98.jpg,From Paris with Love,https://www.metacritic.com/movie/from-paris-with-love
42,https://static.metacritic.com/images/products/movies/3/0088c603771b9547ff21ba823d837fb2-98.jpg,A Good Day to Die Hard,https://www.metacritic.com/movie/a-good-day-to-die-hard
43,https://static.metacritic.com/images/products/movies/6/da743b250e9ddd477e6cbf83c61ec974-250h.jpg,Frozen,https://www.metacritic.com/movie/frozen
44,https://static.metacritic.com/images/products/movies/2/d541638620aca728a4405b5cb0497699-250h.jpg,Full Metal Jacket,https://www.metacritic.com/movie/full-Metal-jacket
45,https://static.metacritic.com/images/products/movies/3/32ce08fae48792935470bbe0f0e17e99-250h.jpg,Game Night,https://www.metacritic.com/movie/game-night
46,https://static.metacritic.com/images/products/movies/0/6a3312625216f7e72a32591daefc7a55-250h.jpg,Ghostbusters,https://www.metacritic.com/movie/ghostbusters
47,https://static.metacritic.com/images/products/movies/0/e65b308fbc1d5959d5e67d5086b2cacd-250h.jpg,Godzilla,https://www.metacritic.com/movie/godzilla
48,https://static.metacritic.com/images/products/movies/6/cfaea005e840bfac82d3b4535c59348a-98.jpg,Gamer,https://www.metacritic.com/movie/gamer
49,https://static.metacritic.com/images/products/movies/8/8c20c3fe096e4617ea8c37d537703bc2-98.jpg,Ghost Rider,https://www.metacritic.com/movie/ghost-rider
50,https://static.metacritic.com/images/products/movies/2/ad0abd6aa22567598e2f643f68135150-98.jpg,Friday Night Lights,https://www.metacritic.com/movie/friday-Night-lights
51,https://static.metacritic.com/images/products/movies/1/3079cd8b0b948593b57c9a960959b1e6-98.jpg,The Godfather: Part III,https://www.metacritic.com/movie/the-godfather-part-iii
52,https://static.metacritic.com/images/products/movies/4/a47ad7d02ba0ada36621612a12409c6c-98.jpg,Gone in Sixty Seconds,https://www.metacritic.com/movie/gone-in-sixty-seconds
